date,price,per,dist_yield_ttm,dist_yield_ann,drop_from_high_pct,ma50_gap_pct,ma200_gap_pct,currency,source
2026-08-15,60.53,30.5,10.78,13.98,-0.12,3.04,8.31,USD,yfinance+dividends
2026-08-16,60.53,30.5,10.78,13.98,-0.12,3.04,8.31,USD,yfinance+dividends
2026-08-17,60.53,30.5,10.78,13.98,-0.12,3.04,8.31,USD,yfinance+dividends
2026-08-18,60.56,30.5,10.77,13.97,-0.3,3.05,8.29,USD,yfinance+dividends
2026-08-19,59.93,30.2,10.89,14.12,-1.33,1.9,7.11,USD,yfinance+dividends
2026-08-20,59.87,30.2,10.9,14.13,-1.43,1.74,6.94,USD,yfinance+dividends
2026-08-21,59.66,30.1,10.94,14.18,-1.78,1.32,6.51,USD,yfinance+dividends
2026-08-22,59.84,30.1,10.9,14.14,-1.48,1.52,6.77,USD,yfinance+dividends
