date,price,per,dist_yield_ttm,dist_yield_ann,drop_from_high_pct,ma50_gap_pct,ma200_gap_pct,currency,source
2026-08-15,18070.0,26.2,0.9,0.93,-4.16,3.68,9.86,KRW,yfinance+dividends+per<-SPYM
2026-08-16,18070.0,26.2,0.9,0.93,-4.16,3.68,9.86,KRW,yfinance+dividends+per<-SPYM
2026-08-17,18070.0,26.2,0.9,0.93,-4.16,3.68,9.86,KRW,yfinance+dividends+per<-SPYM
2026-08-18,18070.0,26.0,0.9,0.93,-4.16,3.68,9.86,KRW,yfinance+dividends+per<-SPYM
2026-08-19,17855.0,25.9,0.91,0.94,-5.3,2.41,8.48,KRW,yfinance+dividends+per<-SPYM
2026-08-20,17790.0,25.9,0.92,0.94,-5.64,1.96,8.02,KRW,yfinance+dividends+per<-SPYM
2026-08-21,17870.0,25.7,0.91,0.94,-5.22,2.35,8.45,KRW,yfinance+dividends+per<-SPYM
2026-08-22,17710.0,25.8,0.92,0.95,-6.07,1.36,7.42,KRW,yfinance+dividends+per<-SPYM
