date,price,per,dist_yield_ttm,dist_yield_ann,drop_from_high_pct,ma50_gap_pct,ma200_gap_pct,currency,source
2026-08-15,22620.0,31.3,0.52,0.58,-1.9,2.2,11.67,KRW,yfinance+dividends+per<-QQQM
2026-08-16,22620.0,31.3,0.52,0.58,-1.9,2.2,11.67,KRW,yfinance+dividends+per<-QQQM
2026-08-17,22620.0,31.3,0.52,0.58,-1.9,2.2,11.67,KRW,yfinance+dividends+per<-QQQM
2026-08-18,22620.0,31.2,0.52,0.58,-1.9,2.2,11.67,KRW,yfinance+dividends+per<-QQQM
2026-08-19,22385.0,30.7,0.53,0.59,-2.92,1.17,10.42,KRW,yfinance+dividends+per<-QQQM
2026-08-20,22120.0,30.6,0.53,0.6,-4.07,-0.05,9.04,KRW,yfinance+dividends+per<-QQQM
2026-08-21,22250.0,30.4,0.53,0.59,-3.51,0.55,9.61,KRW,yfinance+dividends+per<-QQQM
2026-08-22,22040.0,30.5,0.54,0.6,-4.42,-0.41,8.51,KRW,yfinance+dividends+per<-QQQM
