date,price,per,dist_yield_ttm,dist_yield_ann,drop_from_high_pct,ma50_gap_pct,ma200_gap_pct,currency,source
2026-08-15,56.61,25.9,7.99,8.31,-0.22,3.17,9.62,USD,yfinance+dividends
2026-08-16,56.61,25.9,7.99,8.31,-0.22,3.17,9.62,USD,yfinance+dividends
2026-08-17,56.61,25.9,7.99,8.31,-0.22,3.17,9.62,USD,yfinance+dividends
2026-08-18,56.42,25.8,8.02,8.34,-0.56,2.77,9.18,USD,yfinance+dividends
2026-08-19,56.11,25.6,8.06,8.38,-1.1,2.12,8.51,USD,yfinance+dividends
2026-08-20,56.23,25.7,8.04,8.37,-0.89,2.25,8.67,USD,yfinance+dividends
2026-08-21,55.84,25.5,8.1,8.42,-1.58,1.47,7.85,USD,yfinance+dividends
2026-08-22,56.09,25.6,8.06,8.39,-1.14,1.81,8.27,USD,yfinance+dividends
