date,price,per,dist_yield_ttm,dist_yield_ann,drop_from_high_pct,ma50_gap_pct,ma200_gap_pct,currency,source
2026-08-15,10250.0,19.9,11.4,12.06,-3.44,-0.18,9.24,KRW,yfinance+dividends+per<-SCHD
2026-08-16,10250.0,19.9,11.4,12.06,-3.44,-0.18,9.24,KRW,yfinance+dividends+per<-SCHD
2026-08-17,10250.0,19.9,11.4,12.06,-3.44,-0.18,9.24,KRW,yfinance+dividends+per<-SCHD
2026-08-18,10250.0,19.8,11.4,12.06,-3.44,-0.18,9.24,KRW,yfinance+dividends+per<-SCHD
2026-08-19,10180.0,19.9,11.48,12.14,-4.1,-0.8,8.37,KRW,yfinance+dividends+per<-SCHD
2026-08-20,10145.0,20.3,11.52,12.18,-4.43,-1.1,7.88,KRW,yfinance+dividends+per<-SCHD
2026-08-21,10260.0,20.1,11.39,12.05,-3.35,0.01,8.97,KRW,yfinance+dividends+per<-SCHD
2026-08-22,10150.0,20.3,11.52,12.18,-4.38,-1.03,7.68,KRW,yfinance+dividends+per<-SCHD
