date,price,per,dist_yield_ttm,dist_yield_ann,drop_from_high_pct,ma50_gap_pct,ma200_gap_pct,currency,source
2026-08-15,55.79,31.0,13.67,13.66,-1.42,2.21,8.56,USD,yfinance+dividends
2026-08-16,55.79,31.0,13.67,13.66,-1.42,2.21,8.56,USD,yfinance+dividends
2026-08-17,55.79,31.0,13.67,13.66,-1.42,2.21,8.56,USD,yfinance+dividends
2026-08-18,55.75,31.0,13.68,13.67,-1.49,2.15,8.42,USD,yfinance+dividends
2026-08-19,55.07,30.6,13.85,13.84,-2.69,0.85,7.05,USD,yfinance+dividends
2026-08-20,54.34,30.2,14.03,14.02,-3.98,-0.47,5.58,USD,yfinance+dividends
2026-08-21,54.05,30.0,15.32,15.68,-3.35,0.13,6.22,USD,yfinance+dividends
2026-08-22,54.24,30.1,14.1,14.42,-3.01,0.41,6.54,USD,yfinance+dividends
