date,price,per,dist_yield_ttm,dist_yield_ann,drop_from_high_pct,ma50_gap_pct,ma200_gap_pct,currency,source
2026-08-15,34.52,19.9,3.04,2.93,-0.06,5.37,14.4,USD,yfinance+dividends
2026-08-16,34.52,19.9,3.04,2.93,-0.06,5.37,14.4,USD,yfinance+dividends
2026-08-17,34.52,19.9,3.04,2.93,-0.06,5.37,14.4,USD,yfinance+dividends
2026-08-18,34.29,19.8,3.06,2.95,-0.72,4.54,13.49,USD,yfinance+dividends
2026-08-19,34.51,19.9,3.04,2.93,-0.32,5.05,14.06,USD,yfinance+dividends
2026-08-20,35.09,20.3,2.99,2.88,-0.62,6.62,15.8,USD,yfinance+dividends
2026-08-21,34.83,20.1,3.01,2.91,-1.36,5.66,14.77,USD,yfinance+dividends
2026-08-22,35.11,20.3,2.98,2.88,-0.57,6.3,15.52,USD,yfinance+dividends
