date,price,per,dist_yield_ttm,dist_yield_ann,drop_from_high_pct,ma50_gap_pct,ma200_gap_pct,currency,source
2026-08-15,11340.0,19.9,9.56,9.84,-3.08,-0.44,8.66,KRW,yfinance+dividends+per<-SCHD
2026-08-16,11340.0,19.9,9.56,9.84,-3.08,-0.44,8.66,KRW,yfinance+dividends+per<-SCHD
2026-08-17,11340.0,19.9,9.56,9.84,-3.08,-0.44,8.66,KRW,yfinance+dividends+per<-SCHD
2026-08-18,11340.0,19.8,9.56,9.84,-3.08,-0.44,8.66,KRW,yfinance+dividends+per<-SCHD
2026-08-19,11280.0,19.9,9.61,9.89,-3.6,-0.92,7.96,KRW,yfinance+dividends+per<-SCHD
2026-08-20,11250.0,20.3,9.64,9.92,-3.85,-1.15,7.55,KRW,yfinance+dividends+per<-SCHD
2026-08-21,11375.0,20.1,9.53,9.81,-2.79,-0.05,8.62,KRW,yfinance+dividends+per<-SCHD
2026-08-22,11260.0,20.3,9.63,9.91,-3.77,-1.03,7.4,KRW,yfinance+dividends+per<-SCHD
